id;status;url;amount;experience;commitment;type;category;keywords;permission;expires
1;FUNDED;https://pansy.com;5884;BEGINNER;22514;FEATURE;FRONT_END;Massachusetts;false;2020-05-24
2;OPEN;http://assunta.com;94753;BEGINNER;94811;BUG;THIS;Checking Account;false;2020-05-23
3;INVALID;http://esperanza.com;1976;ADVANCED;41175;EX;FRONT_END;New Jersey orchestrate Money Market Account;false;2020-05-24
4;INVALID;http://citlalli.name;41337;INTERMEDIATE;72534;BUG;THIS;Home Loan Account;false;2020-05-24
5;OPEN;http://adelle.name;6630;INTERMEDIATE;11225;BUG;FRONT_END;Sausages deposit;false;2020-05-23
6;FUNDED;http://alverta.biz;58095;INTERMEDIATE;10745;FEATURE;BACKEND;Paradigm Web Soft;true;2020-05-23
7;FUNDED;http://ariane.info;99472;ADVANCED;80026;IMPROVEMENT;BACKEND;global;true;2020-05-24
8;CLOSED;http://manuel.com;79250;INTERMEDIATE;74001;FEATURE;THIS;intuitive array Argentina;false;2020-05-24
9;OPEN;http://antone.biz;32719;INTERMEDIATE;20242;IMPROVEMENT;BACKEND;technologies Incredible;true;2020-05-24
10;FUNDED;https://nora.biz;125;BEGINNER;27029;EX;FRONT_END;Checking Account Hat indexing;false;2020-05-23
